Year,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
2000,V Dahiya,14,10,141,40,15.66,187,75.4,0,0,1,10,2
2000,SS Dighe,11,10,107,36*,17.83,200,53.5,0,0,0,3,0
2000,JJ Martin,5,5,82,39,20.5,162,50.61,0,0,1,6,0
2000,RS Sodhi,4,4,70,53*,35,105,66.66,0,1,0,4,1
2000,J Srinath,11,8,69,30,11.5,112,61.6,0,0,2,6,1
2000,Z Khan,13,6,57,32*,28.5,50,114,0,0,0,3,4
2000,SS Karim,7,6,49,22,12.25,80,61.25,0,0,1,4,0
2000,HH Kanitkar,4,4,36,30,9,64,56.25,0,0,2,3,0
2000,BKV Prasad,25,10,34,14,8.5,56,60.71,0,0,1,0,1
2000,VVS Laxman,6,6,24,9,4,116,20.68,0,0,0,2,0
2000,N Chopra,4,4,23,14,7.66,52,44.23,0,0,0,1,0
2000,S Sriram,6,5,21,12,5.25,39,53.84,0,0,1,2,0
2000,V Sehwag,2,1,19,19,19,24,79.16,0,0,0,0,1
2000,DJ Gandhi,2,2,19,13,9.5,30,63.33,0,0,0,3,0
2000,T Kumaran,6,2,11,7,5.5,18,61.11,0,0,0,1,0
2000,NR Mongia,1,1,4,4,4,14,28.57,0,0,0,0,0
2000,DS Mohanty,3,2,1,1,0.5,15,6.66,0,0,1,0,0
2000,A Bhandari,1,1,0,0*,-,0,-,0,0,0,0,0
2001,SR Tendulkar,17,16,904,146,69.53,990,91.31,4,3,1,116,3
2001,SC Ganguly,23,22,813,127,36.95,1144,71.06,2,6,2,80,22
2001,R Dravid,24,21,740,80,43.52,1046,70.74,0,6,0,58,1
2001,VVS Laxman,16,15,541,101,38.64,736,73.5,1,4,1,54,1
2001,V Sehwag,19,18,439,100,29.26,441,99.54,1,3,2,64,6
2001,HK Badani,15,15,327,100,27.25,490,66.73,1,1,1,26,7
2001,Yuvraj Singh,15,12,238,98*,23.8,312,76.28,0,1,2,21,2
2001,RS Sodhi,13,9,209,67,26.12,273,76.55,0,1,0,12,5
2001,Harbhajan Singh,22,14,156,46,13,170,91.76,0,0,2,15,4
2001,SS Dighe,12,7,149,94*,29.8,221,67.42,0,1,1,8,2
2001,Z Khan,16,10,84,29,16.8,109,77.06,0,0,1,7,2
2001,V Dahiya,5,5,75,51,18.75,80,93.75,0,1,1,8,1
2001,AB Agarkar,12,8,74,16,14.8,99,74.74,0,0,0,4,0
2001,D Dasgupta,5,4,51,24*,17,82,62.19,0,0,1,6,0
2001,D Mongia,4,4,51,37,12.75,83,61.44,0,0,0,6,0
2001,JJ Martin,2,1,36,36,36,70,51.42,0,0,0,5,0
2001,SB Joshi,1,1,19,19,19,23,82.6,0,0,0,2,0
2001,J Srinath,11,6,19,7*,4.75,21,90.47,0,0,1,2,0
2001,DS Mohanty,4,1,18,18*,-,20,90,0,0,0,1,0
2001,RR Singh,1,1,16,16,16,32,50,0,0,0,0,0
2001,AR Khurasiya,2,2,12,12,6,25,48,0,0,1,2,0
2001,BKV Prasad,2,1,10,10*,-,25,40,0,0,0,0,0
2001,SS Das,3,3,9,5*,4.5,17,52.94,0,0,0,0,0
2001,A Kumble,7,4,8,7*,2.66,24,33.33,0,0,2,0,0
2001,A Nehra,10,3,6,2*,6,26,23.07,0,0,0,0,0
2001,Harvinder Singh,3,1,1,1,1,5,20,0,0,0,0,0
2002,V Sehwag,30,30,1130,126,41.85,1076,105.01,3,5,3,171,10
2002,SC Ganguly,32,30,1114,117*,38.41,1347,82.7,1,9,2,126,19
2002,R Dravid,28,24,913,109*,48.05,1191,76.65,1,7,0,70,2
2002,SR Tendulkar,20,19,741,113,52.92,847,87.48,2,3,0,78,6
2002,D Mongia,25,25,740,159*,33.63,985,75.12,1,2,2,84,5
2002,M Kaif,32,24,692,111*,40.7,848,81.6,1,3,0,50,4
2002,Yuvraj Singh,26,21,659,80*,36.61,686,96.06,0,7,1,66,9
2002,VVS Laxman,21,21,613,99,30.65,855,71.69,0,5,0,55,0
2002,AB Agarkar,26,19,261,95,23.72,259,100.77,0,1,3,29,3
2002,SB Bangar,9,9,159,57*,22.71,187,85.02,0,1,2,14,2
2002,Harbhajan Singh,27,13,115,24*,14.37,133,86.46,0,0,1,11,2
2002,A Ratra,12,8,90,30,12.85,127,70.86,0,0,0,8,0
2002,HK Badani,6,5,89,35,22.25,109,81.65,0,0,0,8,0
2002,A Kumble,21,10,70,21*,11.66,104,67.3,0,0,2,3,0
2002,Z Khan,22,9,44,14,5.5,82,53.65,0,0,2,4,0
2002,SS Das,1,1,30,30,30,60,50,0,0,0,2,1
2002,A Nehra,16,7,30,24,10,32,93.75,0,0,1,2,1
2002,Sarandeep Singh,3,3,28,19,14,53,52.83,0,0,0,3,0
2002,J Srinath,15,7,18,7*,4.5,36,50,0,0,2,0,0
2002,M Kartik,5,2,13,11,6.5,23,56.52,0,0,0,1,0
2002,T Yohannan,3,2,7,5*,-,11,63.63,0,0,0,0,0
2002,RS Sodhi,1,1,1,1,1,3,33.33,0,0,0,0,0
2002,R Vijay Bharadwaj,1,1,0,0,0,1,0,0,0,1,0,0
2002,Jai P Yadav,2,1,0,0,0,5,0,0,0,1,0,0
2003,SR Tendulkar,21,21,1141,152,57.05,1306,87.36,3,8,1,131,7
2003,V Sehwag,27,27,871,130,32.25,1021,85.3,2,3,2,115,16
2003,SC Ganguly,22,22,756,112*,42,992,76.2,3,2,2,58,21
2003,R Dravid,23,21,623,62,41.53,966,64.49,0,4,0,50,4
2003,Yuvraj Singh,26,25,600,102*,31.57,782,76.72,1,3,2,63,7
2003,M Kaif,27,25,478,95*,22.76,766,62.4,0,3,3,41,5
2003,D Mongia,19,13,237,55*,21.54,344,68.89,0,1,1,17,1
2003,VVS Laxman,8,8,232,102,29,327,70.94,1,0,0,29,0
2003,G Gambhir,5,5,113,71,22.6,185,61.08,0,1,0,15,0
2003,Z Khan,26,15,107,34*,10.7,137,78.1,0,0,4,11,3
2003,AB Agarkar,14,10,104,26*,13,118,88.13,0,0,2,9,4
2003,Harbhajan Singh,20,12,75,28,7.5,85,88.23,0,0,1,6,2
2003,HK Badani,2,2,71,41,35.5,81,87.65,0,0,0,9,0
2003,PA Patel,9,5,66,27,13.2,130,50.76,0,0,0,5,0
2003,A Kumble,10,6,66,21,16.5,165,40,0,0,0,6,0
2003,J Srinath,16,9,28,15,5.6,76,36.84,0,0,2,4,0
2003,Sarandeep Singh,2,1,19,19,19,20,95,0,0,0,3,0
2003,SB Bangar,4,4,18,9,4.5,43,41.86,0,0,0,0,1
2003,SV Bahutule,1,1,11,11,11,13,84.61,0,0,0,1,0
2003,A Nehra,14,4,11,8*,11,21,52.38,0,0,1,2,0
2003,AV Kale,1,1,10,10,10,22,45.45,0,0,0,1,0
2003,M Kartik,4,3,6,4*,6,13,46.15,0,0,0,0,0
2003,AM Salvi,4,3,4,4*,2,14,28.57,0,0,2,0,0
2004,R Dravid,31,28,1025,104,39.42,1367,74.98,1,10,2,85,2
2004,SC Ganguly,31,30,947,90,32.65,1355,69.88,0,7,2,79,18
2004,Yuvraj Singh,31,28,841,139,30.03,927,90.72,1,5,1,87,9
2004,VVS Laxman,25,24,837,131,41.85,1049,79.79,4,1,0,77,3
2004,SR Tendulkar,21,21,812,141,40.6,1014,80.07,1,5,1,101,5
2004,V Sehwag,27,26,671,90,25.8,736,91.16,0,5,3,83,13
2004,M Kaif,22,20,564,80,37.6,719,78.44,0,4,0,50,0
2004,IK Pathan,28,21,230,38,19.16,290,79.31,0,0,1,17,6
2004,AB Agarkar,13,9,179,53,22.37,225,79.55,0,1,0,12,6
2004,RS Gavaskar,11,10,151,54,18.87,234,64.52,0,1,0,8,2
2004,HK Badani,9,7,141,60*,47,196,71.93,0,1,0,12,1
2004,L Balaji,23,12,95,21*,11.87,126,75.39,0,0,1,7,2
2004,PA Patel,5,5,66,28,16.5,96,68.75,0,0,1,8,0
2004,Harbhajan Singh,11,5,62,41*,20.66,81,76.54,0,0,1,7,1
2004,M Kartik,8,4,61,32*,30.5,77,79.22,0,0,0,5,0
2004,S Sriram,2,2,60,57,30,96,62.5,0,1,0,7,0
2004,Z Khan,12,6,44,28*,14.66,46,95.65,0,0,2,3,2
2004,Joginder Sharma,3,2,34,29*,-,24,141.66,0,0,0,5,0
2004,RR Powar,2,2,32,18*,32,29,110.34,0,0,0,5,0
2004,A Kumble,13,6,26,9*,8.66,43,60.46,0,0,0,2,0
2004,A Nehra,15,6,24,14*,8,16,150,0,0,3,3,1
2004,MS Dhoni,3,3,19,12,9.5,14,135.71,0,0,1,2,1
2004,D Mongia,1,1,12,12,12,18,66.66,0,0,0,0,0
2004,SB Bangar,2,2,3,3,1.5,9,33.33,0,0,1,0,0
2004,KD Karthik,2,1,1,1,1,12,8.33,0,0,0,0,0
2005,R Dravid,26,26,971,104,48.55,1305,74.4,2,8,2,92,2
2005,MS Dhoni,27,24,895,183*,49.72,868,103.11,2,3,1,67,34
2005,V Sehwag,26,26,844,108,33.76,762,110.76,1,3,0,119,9
2005,Yuvraj Singh,26,25,839,120,41.95,1043,80.44,3,3,0,90,10
2005,M Kaif,22,21,697,102*,43.56,966,72.15,1,4,1,66,0
2005,SR Tendulkar,16,16,412,123,27.46,533,77.29,1,2,0,51,5
2005,IK Pathan,20,12,383,83,34.81,431,88.86,0,3,2,35,12
2005,SC Ganguly,12,12,187,51,17,342,54.67,0,1,1,22,0
2005,G Gambhir,6,6,181,103,30.16,204,88.72,1,0,1,28,1
2005,Y Venugopal Rao,11,8,136,38,19.42,231,58.87,0,0,2,11,3
2005,Harbhajan Singh,24,10,108,37*,21.6,129,83.72,0,0,2,8,4
2005,SK Raina,8,5,89,39*,22.25,88,101.13,0,0,1,10,0
2005,Jai P Yadav,10,6,81,69,27,118,68.64,0,1,1,11,1
2005,Z Khan,10,8,79,27*,19.75,70,112.85,0,0,0,6,5
2005,AB Agarkar,16,8,61,21,7.62,90,67.77,0,0,1,6,0
2005,D Mongia,2,2,33,33*,33,32,103.12,0,0,1,0,2
2005,VVS Laxman,2,2,29,22,14.5,55,52.72,0,0,0,2,0
2005,L Balaji,5,3,18,17*,18,16,112.5,0,0,1,0,1
2005,A Nehra,14,5,15,9*,5,27,55.55,0,0,1,1,0
2005,RP Singh,8,3,11,9*,-,10,110,0,0,0,1,0
2005,A Kumble,3,1,9,9*,-,15,60,0,0,0,0,0
2005,M Kartik,12,1,8,8,8,14,57.14,0,0,0,0,0
2006,R Dravid,27,27,919,105,35.34,1255,73.22,1,8,2,112,3
2006,Yuvraj Singh,22,21,849,107*,53.06,961,88.34,2,5,2,96,8
2006,MS Dhoni,29,26,821,96,41.05,883,92.97,0,7,0,81,20
2006,SR Tendulkar,16,16,628,141*,44.85,815,77.05,2,3,1,81,7
2006,V Sehwag,24,23,608,97,26.43,708,85.87,0,5,1,77,8
2006,SK Raina,26,22,500,81*,27.77,718,69.63,0,3,1,44,4
2006,IK Pathan,24,21,393,65,23.11,535,73.45,0,2,3,47,7
2006,M Kaif,22,20,322,66*,18.94,523,61.56,0,3,4,21,0
2006,Harbhajan Singh,23,14,154,37,14,215,71.62,0,0,1,11,3
2006,D Mongia,4,4,123,63*,41,218,56.42,0,1,0,11,0
2006,G Gambhir,5,5,115,38,23,150,76.66,0,0,0,18,1
2006,RV Uthappa,3,3,98,86,32.66,123,79.67,0,1,1,13,1
2006,Y Venugopal Rao,5,3,82,61*,41,132,62.12,0,1,0,5,0
2006,AB Agarkar,24,12,78,21,6.5,152,51.31,0,0,1,3,0
2006,RR Powar,14,7,75,54,18.75,130,57.69,0,1,0,5,1
2006,KD Karthik,4,3,42,17,14,76,55.26,0,0,0,6,1
2006,Z Khan,8,5,35,16*,11.66,44,79.54,0,0,0,4,1
2006,RP Singh,12,5,15,7,5,52,28.84,0,0,0,0,0
2006,W Jaffer,2,2,10,10,5,23,43.47,0,0,1,2,0
2006,VRV Singh,2,1,8,8,8,13,61.53,0,0,0,1,0
2006,MM Patel,14,6,6,2*,3,16,37.5,0,0,1,0,0
2006,S Sreesanth,18,7,6,3,1.5,22,27.27,0,0,3,0,0
2006,A Kumble,3,3,3,2,1,20,15,0,0,1,0,0
2006,M Kartik,1,1,1,1,1,3,33.33,0,0,0,0,0
2006,VVS Laxman,1,1,0,0,0,1,0,0,0,1,0,0
2007,SR Tendulkar,33,32,1425,100*,47.5,1665,85.58,1,13,3,192,12
2007,Yuvraj Singh,33,30,1195,121,45.96,1360,87.86,1,9,1,107,31
2007,SC Ganguly,30,28,1120,98,43.07,1557,71.93,0,11,2,115,21
2007,MS Dhoni,34,30,929,91*,40.39,1092,85.07,0,7,3,70,16
2007,R Dravid,31,27,823,92*,37.4,1003,82.05,0,8,3,75,10
2007,G Gambhir,21,21,634,101,35.22,849,74.67,1,5,2,70,2
2007,RV Uthappa,22,20,509,70,29.94,457,111.37,0,3,2,69,13
2007,V Sehwag,12,11,370,114,33.63,355,104.22,1,0,0,49,6
2007,KD Karthik,20,16,287,63,26.09,385,74.54,0,2,2,24,1
2007,Z Khan,31,16,171,31*,17.1,246,69.51,0,0,1,16,5
2007,IK Pathan,13,10,131,43,18.71,176,74.43,0,0,1,10,6
2007,Harbhajan Singh,19,11,126,38*,21,179,70.39,0,0,1,8,4
2007,AB Agarkar,17,8,71,40,8.87,122,58.19,0,0,1,6,0
2007,RG Sharma,4,3,61,52,20.33,74,82.43,0,1,0,3,1
2007,RR Powar,15,10,56,17,6.22,101,55.44,0,0,0,2,1
2007,M Kartik,7,3,37,21*,18.5,48,77.08,0,0,1,4,1
2007,D Mongia,2,2,34,17,17,41,82.92,0,0,0,4,0
2007,MM Patel,11,4,26,15,8.66,35,74.28,0,0,0,3,0
2007,RP Singh,18,6,26,12*,13,55,47.27,0,0,2,1,0
2007,SK Raina,2,1,23,23,23,36,63.88,0,0,0,4,0
2007,PP Chawla,13,7,20,13*,5,34,58.82,0,0,1,1,0
2007,S Sreesanth,12,5,19,10*,9.5,59,32.2,0,0,0,1,0
2007,P Kumar,1,1,12,12,12,13,92.3,0,0,0,1,0
2007,A Kumble,4,2,5,3*,5,13,38.46,0,0,0,0,0
2007,Joginder Sharma,1,1,1,1,1,6,16.66,0,0,0,0,0
2008,G Gambhir,27,27,1119,113,46.62,1236,90.53,3,7,1,124,6
2008,MS Dhoni,29,26,1097,109*,57.73,1333,82.29,1,8,0,74,14
2008,V Sehwag,18,18,893,119,49.61,744,120.02,1,8,0,121,22
2008,Yuvraj Singh,27,27,893,138*,38.82,891,100.22,2,3,2,82,31
2008,SK Raina,19,18,680,116*,45.33,717,94.83,2,5,0,59,18
2008,RG Sharma,28,28,532,70*,25.33,733,72.57,0,3,2,43,3
2008,SR Tendulkar,12,12,460,117*,41.81,546,84.24,1,3,1,46,0
2008,IK Pathan,20,13,223,38*,18.58,308,72.4,0,0,0,18,2
2008,RV Uthappa,13,11,179,51,19.88,275,65.09,0,1,0,12,2
2008,V Kohli,5,5,159,54,31.8,239,66.52,0,1,0,21,1
2008,YK Pathan,12,7,96,50*,24,89,107.86,0,1,2,8,5
2008,Harbhajan Singh,19,10,82,27,8.2,99,82.82,0,0,0,6,0
2008,S Badrinath,3,3,39,27*,19.5,87,44.82,0,0,0,1,0
2008,P Kumar,14,7,29,7,7.25,40,72.5,0,0,0,1,0
2008,PP Ojha,5,3,27,16*,27,55,49.09,0,0,0,2,0
2008,MM Patel,12,5,20,15,10,27,74.07,0,0,1,2,1
2008,Z Khan,10,6,19,12,3.8,73,26.02,0,0,1,0,0
2008,I Sharma,19,6,13,8,6.5,36,36.11,0,0,0,1,0
2008,S Sreesanth,7,4,9,4,4.5,13,69.23,0,0,0,0,0
2008,PP Chawla,8,3,8,6*,8,9,88.88,0,0,0,1,0
2008,RP Singh,9,3,8,4,2.66,19,42.1,0,0,1,0,0
2008,MK Tiwary,1,1,2,2,2,16,12.5,0,0,0,0,0
2009,MS Dhoni,29,24,1198,124,70.47,1400,85.57,2,9,0,79,18
2009,SR Tendulkar,21,20,972,175,54,1034,94,3,3,0,108,13
2009,G Gambhir,27,23,848,150*,40.38,916,92.57,2,5,2,77,5
2009,V Sehwag,20,19,810,146,45,593,136.59,3,2,0,114,20
2009,Yuvraj Singh,23,21,783,131,39.15,816,95.95,2,5,1,88,21
2009,SK Raina,27,21,605,68,37.81,596,101.51,0,5,3,41,24
2009,V Kohli,10,8,325,107,54.16,385,84.41,1,2,0,36,3
2009,KD Karthik,10,8,223,67,37.16,291,76.63,0,1,0,22,3
2009,RA Jadeja,14,9,201,60*,33.5,267,75.28,0,2,1,19,2
2009,R Dravid,6,5,180,76,36,262,68.7,0,1,0,11,2
2009,YK Pathan,18,13,151,59*,18.87,161,93.78,0,1,4,10,6
2009,P Kumar,19,9,147,54*,24.5,157,93.63,0,1,0,17,3
2009,Harbhajan Singh,26,12,138,49,13.8,139,99.28,0,0,3,11,6
2009,RG Sharma,9,7,102,43*,25.5,155,65.8,0,0,1,5,1
2009,RP Singh,8,3,44,23,22,106,41.5,0,0,0,3,1
2009,I Sharma,21,5,23,13,5.75,49,46.93,0,0,1,2,0
2009,Z Khan,13,2,22,17,11,33,66.66,0,0,0,0,1
2009,A Nehra,21,7,15,7,3.75,31,48.38,0,0,0,1,0
2009,IK Pathan,2,1,8,8,8,21,38.09,0,0,0,0,0
2009,L Balaji,1,1,7,7,7,10,70,0,0,0,1,0
2009,MM Patel,6,2,2,2*,2,5,40,0,0,1,0,0
2009,AM Nayar,3,1,0,0*,-,7,0,0,0,0,0,0
2009,PP Ojha,4,1,0,0*,-,0,-,0,0,0,0,0
2010,V Kohli,25,24,995,118,47.38,1169,85.11,3,7,3,90,4
2010,G Gambhir,14,14,670,138*,55.83,713,93.96,2,3,2,79,1
2010,SK Raina,24,21,631,106,39.43,649,97.22,1,3,0,58,10
2010,MS Dhoni,18,17,600,101*,46.15,760,78.94,1,3,1,52,9
2010,RG Sharma,15,14,504,114,38.76,586,86,2,1,2,34,7
2010,KD Karthik,16,16,455,79,28.43,589,77.24,0,2,2,54,5
2010,V Sehwag,12,12,446,110,40.54,410,108.78,1,1,0,66,5
2010,Yuvraj Singh,15,14,349,74,31.72,498,70.08,0,2,1,38,7
2010,RA Jadeja,21,13,334,61*,30.36,428,78.03,0,2,2,20,5
2010,YK Pathan,12,8,281,123*,46.83,230,122.17,1,0,0,23,14
2010,SR Tendulkar,2,2,204,200*,204,152,134.21,1,0,0,26,3
2010,M Vijay,8,8,178,33,22.25,274,64.96,0,0,0,20,1
2010,PA Patel,2,2,109,56*,109,127,85.82,0,2,0,14,1
2010,SS Tiwary,3,2,49,37*,-,56,87.5,0,0,0,5,1
2010,R Ashwin,7,2,38,38,19,34,111.76,0,0,1,4,1
2010,P Kumar,14,7,37,14,6.16,54,68.51,0,0,2,2,1
2010,Harbhajan Singh,6,4,34,15*,17,46,73.91,0,0,0,0,2
2010,A Nehra,20,8,30,16*,6,66,45.45,0,0,2,2,1
2010,A Mithun,2,2,28,24,14,39,71.79,0,0,0,0,2
2010,AB Dinda,5,3,18,16,6,30,60,0,0,1,1,0
2010,Z Khan,10,3,18,16,6,13,138.46,0,0,1,2,1
2010,PP Ojha,7,5,14,7*,-,39,35.89,0,0,0,1,0
2010,I Sharma,4,3,11,8*,5.5,48,22.91,0,0,1,1,0
2010,S Sreesanth,10,5,10,4,3.33,27,37.03,0,0,0,1,0
2010,MM Patel,6,3,8,7,8,12,66.66,0,0,0,1,0
2010,WP Saha,3,1,4,4,4,5,80,0,0,0,0,0
2010,Pankaj Singh,1,1,3,3*,-,3,100,0,0,0,0,0
2010,UT Yadav,3,1,3,3*,-,3,100,0,0,0,0,0
2010,NV Ojha,1,1,1,1,1,7,14.28,0,0,0,0,0
2010,S Tyagi,3,1,1,1*,-,2,50,0,0,0,0,0
2010,S Dhawan,1,1,0,0,0,2,0,0,0,1,0,0
2010,A Mishra,5,1,0,0,0,3,0,0,0,1,0,0
2011,V Kohli,34,34,1381,117,47.62,1614,85.56,4,8,2,127,7
2011,MS Dhoni,24,22,764,91*,58.76,850,89.88,0,6,0,59,14
2011,SK Raina,29,27,722,84,31.39,725,99.58,0,4,3,62,14
2011,G Gambhir,19,19,720,97,40,827,87.06,0,7,1,74,1
2011,V Sehwag,12,12,645,219,53.75,524,123.09,2,1,2,80,14
2011,RG Sharma,16,16,611,95,55.54,739,82.67,0,6,0,40,9
2011,SR Tendulkar,11,11,513,120,46.63,579,88.6,2,2,0,54,8
2011,PA Patel,21,21,491,95,24.55,602,81.56,0,2,1,52,6
2011,Yuvraj Singh,14,13,453,113,50.33,553,81.91,1,5,1,48,4
2011,AM Rahane,11,11,340,91,30.9,453,75.05,0,2,2,33,3
2011,YK Pathan,14,13,282,105,23.5,233,121.03,1,1,1,21,18
2011,RA Jadeja,13,10,220,78,31.42,253,86.95,0,1,1,21,2
2011,MK Tiwary,5,5,163,104*,40.75,202,80.69,1,0,0,16,2
2011,R Dravid,5,5,124,69,24.8,160,77.5,0,1,0,9,0
2011,R Ashwin,18,11,122,36*,17.42,152,80.26,0,0,1,9,0
2011,Harbhajan Singh,17,11,107,41,13.37,159,67.29,0,0,2,3,5
2011,S Dhawan,4,4,69,51,17.25,121,57.02,0,1,0,4,1
2011,Z Khan,14,8,62,24,7.75,123,50.4,0,0,2,7,0
2011,P Kumar,13,7,51,25*,25.5,46,110.86,0,0,0,2,3
2011,S Badrinath,4,3,40,17,13.33,85,47.05,0,0,0,3,0
2011,R Vinay Kumar,13,5,24,18,8,65,36.92,0,0,0,1,0
2011,A Mithun,3,1,23,23,23,16,143.75,0,0,0,2,2
2011,M Vijay,3,3,18,16,6,43,41.86,0,0,0,3,0
2011,UT Yadav,6,2,17,11*,-,19,89.47,0,0,0,3,0
2011,MM Patel,21,7,12,6*,6,17,70.58,0,0,1,1,0
2011,PP Chawla,4,2,10,8,5,15,66.66,0,0,0,1,0
2011,A Nehra,7,5,9,6*,2.25,25,36,0,0,1,1,0
2011,VR Aaron,4,1,6,6*,-,11,54.54,0,0,0,1,0
2011,A Mishra,5,2,5,5*,5,15,33.33,0,0,1,0,0
2011,IK Pathan,1,1,4,4,4,10,40,0,0,0,0,0
2011,I Sharma,2,2,0,0,0,5,0,0,0,2,0,0
2012,V Kohli,17,17,1026,183,68.4,1094,93.78,5,3,1,92,5
2012,G Gambhir,16,16,685,102,42.81,836,81.93,2,5,2,55,0
2012,MS Dhoni,16,14,524,113*,65.5,598,87.62,1,3,0,37,9
2012,SK Raina,17,17,492,65*,41,508,96.85,0,4,1,36,10
2012,SR Tendulkar,10,10,315,114,31.5,387,81.39,1,1,0,35,2
2012,V Sehwag,10,10,217,96,21.7,216,100.46,0,1,1,30,1
2012,IK Pathan,12,8,172,47,34.4,170,101.17,0,0,0,15,4
2012,RG Sharma,14,13,168,68,12.92,251,66.93,0,1,3,12,2
2012,R Ashwin,16,10,135,31*,27,158,85.44,0,0,0,11,0
2012,RA Jadeja,10,8,105,24*,17.5,146,71.91,0,0,0,4,0
2012,MK Tiwary,2,2,86,65,43,106,81.13,0,1,0,8,0
2012,R Vinay Kumar,7,4,19,12*,6.33,33,57.57,0,0,1,1,0
2012,P Kumar,7,2,16,15,8,21,76.19,0,0,0,2,0
2012,Z Khan,9,2,11,9,5.5,15,73.33,0,0,0,2,0
2012,AM Rahane,1,1,9,9,9,17,52.94,0,0,0,1,0
2012,UT Yadav,8,5,6,6*,-,14,42.85,0,0,0,1,0
2012,PP Ojha,2,1,5,5,5,18,27.77,0,0,0,0,0
2012,PA Patel,1,1,4,4,4,7,57.14,0,0,0,0,0
2012,Yuvraj Singh,1,1,2,2,2,3,66.66,0,0,0,0,0
2012,R Sharma,2,1,1,1,1,2,50,0,0,0,0,0
2013,V Kohli,34,30,1268,115*,52.83,1300,97.53,4,7,3,137,20
2013,RG Sharma,28,27,1196,209,52,1480,80.81,2,8,0,119,30
2013,S Dhawan,26,25,1162,119,50.52,1187,97.89,5,4,1,146,9
2013,SK Raina,34,27,770,89*,35,911,84.52,0,5,2,66,10
2013,MS Dhoni,26,20,753,139*,62.75,784,96.04,1,5,1,67,24
2013,RA Jadeja,34,21,462,61*,35.53,571,80.91,0,1,0,39,13
2013,Yuvraj Singh,18,15,276,61,19.71,352,78.4,0,2,4,35,4
2013,KD Karthik,15,12,255,69,31.87,362,70.44,0,2,0,27,2
2013,R Ashwin,29,16,167,28,12.84,207,80.67,0,0,2,17,2
2013,G Gambhir,7,7,153,52,21.85,228,67.1,0,1,0,21,0
2013,AM Rahane,6,6,113,50,18.83,169,66.86,0,1,1,12,1
2013,AT Rayudu,4,3,101,63*,50.5,163,61.96,0,1,0,6,0
2013,B Kumar,25,12,94,31,13.42,129,72.86,0,0,3,10,1
2013,M Vijay,3,2,57,30,28.5,64,89.06,0,0,0,7,0
2013,R Vinay Kumar,9,4,43,27*,14.33,48,89.58,0,0,1,3,2
2013,V Sehwag,1,1,31,31,31,43,72.09,0,0,0,3,0
2013,I Sharma,22,9,19,7*,6.33,51,37.25,0,0,0,2,0
2013,Mohammed Shami,20,6,15,8,3.75,31,48.38,0,0,2,0,1
2013,CA Pujara,2,2,13,13,6.5,28,46.42,0,0,1,2,0
2013,A Mishra,6,1,9,9,9,7,128.57,0,0,0,1,0
2013,AB Dinda,2,2,3,3,1.5,6,50,0,0,1,0,0
2013,UT Yadav,11,2,1,1,0.5,11,9.09,0,0,1,0,0
2013,MM Sharma,5,1,0,0*,-,5,0,0,0,0,0,0
2014,V Kohli,21,20,1054,139*,58.55,1058,99.62,4,5,1,94,20
2014,S Dhawan,18,18,815,113,47.94,942,86.51,1,6,0,90,14
2014,AM Rahane,24,24,768,111,32,945,81.26,2,4,2,82,10
2014,AT Rayudu,20,18,584,121*,44.92,727,80.33,1,4,0,49,11
2014,RG Sharma,12,12,578,264,52.54,613,94.29,1,3,0,58,22
2014,SK Raina,17,16,539,100,38.5,470,114.68,1,3,1,53,16
2014,MS Dhoni,12,10,418,79*,52.25,454,92.07,0,5,0,32,11
2014,RA Jadeja,17,14,369,87,61.5,335,110.14,0,4,1,30,13
2014,R Ashwin,17,10,147,65,16.33,122,120.49,0,1,1,18,2
2014,RV Uthappa,5,5,104,50,26,118,88.13,0,1,0,9,3
2014,B Kumar,16,8,62,20,7.75,65,95.38,0,0,1,6,0
2014,Mohammed Shami,16,9,58,19,14.5,57,101.75,0,0,2,3,4
2014,KD Karthik,4,4,50,23,25,78,64.1,0,0,0,5,0
2014,STR Binny,6,4,40,25*,13.33,63,63.49,0,0,1,6,0
2014,AR Patel,9,4,40,17*,20,26,153.84,0,0,0,4,2
2014,CA Pujara,3,3,38,27,12.66,102,37.25,0,0,1,2,0
2014,WP Saha,6,4,37,16,18.5,51,72.54,0,0,0,5,0
2014,KM Jadhav,1,1,20,20,20,24,83.33,0,0,0,3,0
2014,UT Yadav,10,3,17,17,17,17,100,0,0,0,2,1
2014,MM Sharma,6,3,13,8,6.5,30,43.33,0,0,0,2,0
2014,A Mishra,6,3,10,5,5,30,33.33,0,0,0,1,0
2014,I Sharma,5,2,6,5,6,11,54.54,0,0,0,0,0
2014,MK Tiwary,1,1,2,2,2,6,33.33,0,0,0,0,0
2014,VR Aaron,5,2,2,2*,2,4,50,0,0,1,0,0
2015,RG Sharma,17,17,815,150,50.93,854,95.43,3,4,2,75,23
2015,S Dhawan,20,20,745,137,37.25,872,85.43,2,4,0,91,9
2015,AM Rahane,21,20,722,87,40.11,907,79.6,0,6,1,67,8
2015,MS Dhoni,20,17,640,92*,45.71,737,86.83,0,4,0,50,11
2015,V Kohli,20,20,623,138,36.64,773,80.59,2,1,0,44,8
2015,SK Raina,20,17,517,110*,32.31,520,99.42,1,4,2,42,14
